 Package                              Name                                                                     Typ     Status         Version              
 Access control                       Nodeaccess (nodeaccess)                                                  Module  Enabled        7.x-1.4              
 Administration                       Actions permissions (VBO) (actions_permissions)                          Module  Enabled        7.x-3.3              
 Administration                       Administration Development tools (admin_devel)                           Module  Not installed  7.x-3.0-rc5          
 Administration                       Administration menu (admin_menu)                                         Module  Enabled        7.x-3.0-rc5          
 Administration                       Administration menu Toolbar style (admin_menu_toolbar)                   Module  Enabled        7.x-3.0-rc5          
 Administration                       Module Missing Message Fixer (module_missing_message_fixer)              Module  Not installed  7.x-1.2              
 Atlas                                Comments Shortener (comments_shortener)                                  Module  Enabled                             
 Atlas                                Dynamic node creation links (node_creation_links)                        Module  Enabled                             
 Atlas                                Publication Form (publication_form)                                      Module  Enabled                             
 Atlas                                Slider Tooltip (slider_tooltip)                                          Module  Enabled                             
 Atlas                                User Profile Elements Overview (user_profile_elements_overview)          Module  Enabled                             
 Biblio                               Biblio (biblio)                                                          Module  Enabled        7.x-1.0-rc7          
 Biblio                               Biblio - BibTex (biblio_bibtex)                                          Module  Enabled        7.x-1.0-rc7          
 Biblio                               Biblio - CiteProc (biblio_citeproc)                                      Module  Enabled        7.x-1.0-rc7          
 Biblio                               Biblio - Crossref (biblio_crossref)                                      Module  Enabled        7.x-1.0-rc7          
 Biblio                               Biblio - EndNote Tagged (biblio_tagged)                                  Module  Not installed  7.x-1.0-rc7          
 Biblio                               Biblio - EndNote XML (biblio_xml)                                        Module  Not installed  7.x-1.0-rc7          
 Biblio                               Biblio - MARC (biblio_marc)                                              Module  Not installed  7.x-1.0-rc7          
 Biblio                               Biblio - PubMed (biblio_pm)                                              Module  Not installed  7.x-1.0-rc7          
 Biblio                               Biblio - RIS (biblio_ris)                                                Module  Enabled        7.x-1.0-rc7          
 Biblio                               Biblio - RTF (biblio_rtf)                                                Module  Enabled        7.x-1.0-rc7          
 Chaos tool suite                     Bulk Export (bulk_export)                                                Module  Not installed  7.x-1.12             
 Chaos tool suite                     Chaos tools (ctools)                                                     Module  Enabled        7.x-1.12             
 Chaos tool suite                     Chaos Tools (CTools) AJAX Example (ctools_ajax_sample)                   Module  Not installed  7.x-1.12             
